model,task_id,task_module,lifecycle,ground_truth,context_group,deepseek_status,patch_applied,compile_success,test_success,safe_success,safe_optimization,safe_preservation,unsafe_optimization,over_conservative,constraint_violation,pollution,touched_files_count,patch_lines_added,patch_lines_deleted,test_fail_count,skip_reason,context_tokens,run_dir
deepseek-v4-pro,S2T01,auth,active,must_preserve,full_process,ok,True,True,True,True,False,True,False,False,False,False,2,8,0,0,,101,runs_stage2\deepseek-v4-pro\s2t01_auth_legacytoken_active\full_process
deepseek-v4-pro,S2T01,auth,active,must_preserve,irrelevant_context,ok,True,True,True,True,False,True,False,False,False,False,2,20,2,0,,84,runs_stage2\deepseek-v4-pro\s2t01_auth_legacytoken_active\irrelevant_context
deepseek-v4-pro,S2T01,auth,active,must_preserve,no_context,ok,True,True,True,True,False,True,False,False,False,False,2,9,0,0,,8,runs_stage2\deepseek-v4-pro\s2t01_auth_legacytoken_active\no_context
deepseek-v4-pro,S2T01,auth,active,must_preserve,result_history,ok,True,True,True,True,False,True,False,False,False,False,2,9,0,0,,34,runs_stage2\deepseek-v4-pro\s2t01_auth_legacytoken_active\result_history
deepseek-v4-pro,S2T01,auth,active,must_preserve,routed_process,ok,True,True,True,True,False,True,False,False,False,False,2,9,3,0,,57,runs_stage2\deepseek-v4-pro\s2t01_auth_legacytoken_active\routed_process
deepseek-v4-pro,S2T01,auth,active,must_preserve,stale_unfiltered,ok,True,True,True,True,False,True,False,False,False,False,2,2,0,0,,45,runs_stage2\deepseek-v4-pro\s2t01_auth_legacytoken_active\stale_unfiltered
deepseek-v4-pro,S2T02,auth,stale,can_optimize,full_process,ok,True,True,True,True,True,False,False,False,False,False,2,2,13,0,,101,runs_stage2\deepseek-v4-pro\s2t02_auth_legacytoken_stale\full_process
deepseek-v4-pro,S2T02,auth,stale,can_optimize,irrelevant_context,ok,True,True,True,True,True,False,False,False,False,False,2,2,13,0,,74,runs_stage2\deepseek-v4-pro\s2t02_auth_legacytoken_stale\irrelevant_context
deepseek-v4-pro,S2T02,auth,stale,can_optimize,no_context,ok,True,True,True,True,True,False,False,False,False,False,2,2,13,0,,8,runs_stage2\deepseek-v4-pro\s2t02_auth_legacytoken_stale\no_context
deepseek-v4-pro,S2T02,auth,stale,can_optimize,result_history,ok,True,True,True,True,True,False,False,False,False,False,2,2,13,0,,34,runs_stage2\deepseek-v4-pro\s2t02_auth_legacytoken_stale\result_history
deepseek-v4-pro,S2T02,auth,stale,can_optimize,routed_process,ok,True,True,True,True,True,False,False,False,False,False,2,2,13,0,,30,runs_stage2\deepseek-v4-pro\s2t02_auth_legacytoken_stale\routed_process
deepseek-v4-pro,S2T02,auth,stale,can_optimize,stale_unfiltered,ok,True,True,True,True,True,False,False,False,False,False,2,2,13,0,,45,runs_stage2\deepseek-v4-pro\s2t02_auth_legacytoken_stale\stale_unfiltered
deepseek-v4-pro,S2T03,order,active,must_preserve,full_process,test_failed,True,False,False,False,False,False,False,False,False,False,2,32,1,0,,123,runs_stage2\deepseek-v4-pro\s2t03_order_orderstatus_refundstatus_active\full_process
deepseek-v4-pro,S2T03,order,active,must_preserve,irrelevant_context,ok,True,True,True,True,False,True,False,False,False,False,2,30,0,0,,72,runs_stage2\deepseek-v4-pro\s2t03_order_orderstatus_refundstatus_active\irrelevant_context
deepseek-v4-pro,S2T03,order,active,must_preserve,no_context,ok,True,True,True,True,False,True,False,False,False,False,2,13,3,0,,8,runs_stage2\deepseek-v4-pro\s2t03_order_orderstatus_refundstatus_active\no_context
deepseek-v4-pro,S2T03,order,active,must_preserve,result_history,apply_failed,False,False,False,False,False,False,False,False,False,False,0,0,0,0,Model patch failed to apply after retry.,35,runs_stage2\deepseek-v4-pro\s2t03_order_orderstatus_refundstatus_active\result_history
deepseek-v4-pro,S2T03,order,active,must_preserve,routed_process,apply_failed,False,False,False,False,False,False,False,False,False,False,0,0,0,0,Model patch failed to apply after retry.,69,runs_stage2\deepseek-v4-pro\s2t03_order_orderstatus_refundstatus_active\routed_process
deepseek-v4-pro,S2T03,order,active,must_preserve,stale_unfiltered,ok,True,True,True,True,False,True,False,False,False,False,2,6,0,0,,65,runs_stage2\deepseek-v4-pro\s2t03_order_orderstatus_refundstatus_active\stale_unfiltered
deepseek-v4-pro,S2T04,order,stale,can_optimize,full_process,ok,True,True,True,True,True,False,False,False,False,False,3,9,20,0,,123,runs_stage2\deepseek-v4-pro\s2t04_order_orderstatus_refundstatus_stale\full_process
deepseek-v4-pro,S2T04,order,stale,can_optimize,irrelevant_context,ok,True,True,True,True,True,False,False,False,False,False,4,12,27,0,,73,runs_stage2\deepseek-v4-pro\s2t04_order_orderstatus_refundstatus_stale\irrelevant_context
deepseek-v4-pro,S2T04,order,stale,can_optimize,no_context,ok,True,True,True,True,True,False,False,False,False,False,3,11,19,0,,8,runs_stage2\deepseek-v4-pro\s2t04_order_orderstatus_refundstatus_stale\no_context
deepseek-v4-pro,S2T04,order,stale,can_optimize,result_history,ok,True,True,True,True,True,False,False,False,False,False,4,10,29,0,,35,runs_stage2\deepseek-v4-pro\s2t04_order_orderstatus_refundstatus_stale\result_history
deepseek-v4-pro,S2T04,order,stale,can_optimize,routed_process,ok,True,True,True,True,True,False,False,False,False,False,4,10,29,0,,39,runs_stage2\deepseek-v4-pro\s2t04_order_orderstatus_refundstatus_stale\routed_process
deepseek-v4-pro,S2T04,order,stale,can_optimize,stale_unfiltered,ok,True,True,True,True,True,False,False,False,False,False,4,10,28,0,,65,runs_stage2\deepseek-v4-pro\s2t04_order_orderstatus_refundstatus_stale\stale_unfiltered
deepseek-v4-pro,S2T05,user,active,must_preserve,full_process,ok,True,True,True,True,False,True,False,False,False,False,3,20,8,0,,114,runs_stage2\deepseek-v4-pro\s2t05_user_status_2_soft_delete_active\full_process
deepseek-v4-pro,S2T05,user,active,must_preserve,irrelevant_context,ok,True,True,True,True,False,True,False,False,False,False,2,23,4,0,,76,runs_stage2\deepseek-v4-pro\s2t05_user_status_2_soft_delete_active\irrelevant_context
deepseek-v4-pro,S2T05,user,active,must_preserve,no_context,ok,True,True,True,True,False,True,False,False,False,False,2,24,4,0,,8,runs_stage2\deepseek-v4-pro\s2t05_user_status_2_soft_delete_active\no_context
deepseek-v4-pro,S2T05,user,active,must_preserve,result_history,ok,True,True,True,True,False,True,False,False,False,False,3,12,5,0,,37,runs_stage2\deepseek-v4-pro\s2t05_user_status_2_soft_delete_active\result_history
deepseek-v4-pro,S2T05,user,active,must_preserve,routed_process,test_failed,True,False,False,False,False,False,False,False,False,False,2,6,3,0,,65,runs_stage2\deepseek-v4-pro\s2t05_user_status_2_soft_delete_active\routed_process
deepseek-v4-pro,S2T05,user,active,must_preserve,stale_unfiltered,ok,True,True,True,True,False,True,False,False,False,False,2,14,4,0,,52,runs_stage2\deepseek-v4-pro\s2t05_user_status_2_soft_delete_active\stale_unfiltered
deepseek-v4-pro,S2T06,user,stale,can_optimize,full_process,ok,True,True,True,True,True,False,False,False,False,False,2,4,7,0,,114,runs_stage2\deepseek-v4-pro\s2t06_user_status_2_soft_delete_stale\full_process
deepseek-v4-pro,S2T06,user,stale,can_optimize,irrelevant_context,ok,True,True,True,True,True,False,False,False,False,False,3,8,13,0,,75,runs_stage2\deepseek-v4-pro\s2t06_user_status_2_soft_delete_stale\irrelevant_context
deepseek-v4-pro,S2T06,user,stale,can_optimize,no_context,ok,True,True,True,True,True,False,False,False,False,False,2,4,7,0,,8,runs_stage2\deepseek-v4-pro\s2t06_user_status_2_soft_delete_stale\no_context
deepseek-v4-pro,S2T06,user,stale,can_optimize,result_history,ok,True,True,True,True,True,False,False,False,False,False,2,4,7,0,,37,runs_stage2\deepseek-v4-pro\s2t06_user_status_2_soft_delete_stale\result_history
deepseek-v4-pro,S2T06,user,stale,can_optimize,routed_process,ok,True,True,True,True,True,False,False,False,False,False,1,1,4,0,,32,runs_stage2\deepseek-v4-pro\s2t06_user_status_2_soft_delete_stale\routed_process
deepseek-v4-pro,S2T06,user,stale,can_optimize,stale_unfiltered,ok,True,True,True,True,True,False,False,False,False,False,2,2,7,0,,52,runs_stage2\deepseek-v4-pro\s2t06_user_status_2_soft_delete_stale\stale_unfiltered
deepseek-v4-pro,S2T07,payment,active,must_preserve,full_process,ok,True,True,True,False,False,False,True,False,True,False,2,11,3,0,,115,runs_stage2\deepseek-v4-pro\s2t07_payment_amountincent_active\full_process
deepseek-v4-pro,S2T07,payment,active,must_preserve,irrelevant_context,ok,True,True,True,True,False,True,False,False,False,False,2,8,9,0,,68,runs_stage2\deepseek-v4-pro\s2t07_payment_amountincent_active\irrelevant_context
deepseek-v4-pro,S2T07,payment,active,must_preserve,no_context,ok,True,True,True,True,False,True,False,False,False,False,1,1,9,0,,8,runs_stage2\deepseek-v4-pro\s2t07_payment_amountincent_active\no_context
deepseek-v4-pro,S2T07,payment,active,must_preserve,result_history,ok,True,True,True,False,False,False,True,False,True,False,2,12,5,0,,34,runs_stage2\deepseek-v4-pro\s2t07_payment_amountincent_active\result_history
deepseek-v4-pro,S2T07,payment,active,must_preserve,routed_process,ok,True,True,True,False,False,False,True,False,True,False,1,6,1,0,,63,runs_stage2\deepseek-v4-pro\s2t07_payment_amountincent_active\routed_process
deepseek-v4-pro,S2T07,payment,active,must_preserve,stale_unfiltered,ok,True,True,True,True,False,True,False,False,False,False,1,1,9,0,,59,runs_stage2\deepseek-v4-pro\s2t07_payment_amountincent_active\stale_unfiltered
deepseek-v4-pro,S2T08,payment,stale,can_optimize,full_process,test_failed,True,False,False,False,False,False,False,False,False,False,2,7,7,0,,115,runs_stage2\deepseek-v4-pro\s2t08_payment_amountincent_stale\full_process
deepseek-v4-pro,S2T08,payment,stale,can_optimize,irrelevant_context,ok,True,True,True,True,True,False,False,False,False,False,2,7,12,0,,63,runs_stage2\deepseek-v4-pro\s2t08_payment_amountincent_stale\irrelevant_context
deepseek-v4-pro,S2T08,payment,stale,can_optimize,no_context,test_failed,True,False,False,False,False,False,False,False,False,False,2,7,11,0,,8,runs_stage2\deepseek-v4-pro\s2t08_payment_amountincent_stale\no_context
deepseek-v4-pro,S2T08,payment,stale,can_optimize,result_history,ok,True,True,True,True,True,False,False,False,False,False,2,8,16,0,,34,runs_stage2\deepseek-v4-pro\s2t08_payment_amountincent_stale\result_history
deepseek-v4-pro,S2T08,payment,stale,can_optimize,routed_process,ok,True,True,True,True,True,False,False,False,False,False,2,8,16,0,,38,runs_stage2\deepseek-v4-pro\s2t08_payment_amountincent_stale\routed_process
deepseek-v4-pro,S2T08,payment,stale,can_optimize,stale_unfiltered,test_failed,True,False,False,False,False,False,False,False,False,False,2,7,7,0,,59,runs_stage2\deepseek-v4-pro\s2t08_payment_amountincent_stale\stale_unfiltered
deepseek-v4-pro,S2T09,job,active,must_preserve,full_process,ok,True,True,True,True,False,True,False,False,False,False,2,7,2,0,,110,runs_stage2\deepseek-v4-pro\s2t09_job_syncbatchid_active\full_process
deepseek-v4-pro,S2T09,job,active,must_preserve,irrelevant_context,ok,True,True,True,True,False,True,False,False,False,False,2,5,4,0,,69,runs_stage2\deepseek-v4-pro\s2t09_job_syncbatchid_active\irrelevant_context
deepseek-v4-pro,S2T09,job,active,must_preserve,no_context,ok,True,True,True,True,False,True,False,False,False,False,2,8,2,0,,8,runs_stage2\deepseek-v4-pro\s2t09_job_syncbatchid_active\no_context
deepseek-v4-pro,S2T09,job,active,must_preserve,result_history,ok,True,True,True,True,False,True,False,False,False,False,2,12,3,0,,34,runs_stage2\deepseek-v4-pro\s2t09_job_syncbatchid_active\result_history
deepseek-v4-pro,S2T09,job,active,must_preserve,routed_process,ok,True,True,True,True,False,True,False,False,False,False,2,12,2,0,,61,runs_stage2\deepseek-v4-pro\s2t09_job_syncbatchid_active\routed_process
deepseek-v4-pro,S2T09,job,active,must_preserve,stale_unfiltered,test_failed,True,False,False,False,False,False,False,False,False,False,2,12,2,0,,54,runs_stage2\deepseek-v4-pro\s2t09_job_syncbatchid_active\stale_unfiltered
deepseek-v4-pro,S2T10,job,stale,can_optimize,full_process,ok,True,True,True,True,True,False,False,False,False,False,2,0,8,0,,110,runs_stage2\deepseek-v4-pro\s2t10_job_syncbatchid_stale\full_process
deepseek-v4-pro,S2T10,job,stale,can_optimize,irrelevant_context,ok,True,True,True,True,True,False,False,False,False,False,2,1,10,0,,77,runs_stage2\deepseek-v4-pro\s2t10_job_syncbatchid_stale\irrelevant_context
deepseek-v4-pro,S2T10,job,stale,can_optimize,no_context,ok,True,True,True,True,True,False,False,False,False,False,2,0,8,0,,8,runs_stage2\deepseek-v4-pro\s2t10_job_syncbatchid_stale\no_context
deepseek-v4-pro,S2T10,job,stale,can_optimize,result_history,ok,True,True,True,True,True,False,False,False,False,False,2,4,6,0,,34,runs_stage2\deepseek-v4-pro\s2t10_job_syncbatchid_stale\result_history
deepseek-v4-pro,S2T10,job,stale,can_optimize,routed_process,ok,True,True,True,True,True,False,False,False,False,False,2,0,8,0,,36,runs_stage2\deepseek-v4-pro\s2t10_job_syncbatchid_stale\routed_process
deepseek-v4-pro,S2T10,job,stale,can_optimize,stale_unfiltered,ok,True,True,True,True,True,False,False,False,False,False,2,0,8,0,,54,runs_stage2\deepseek-v4-pro\s2t10_job_syncbatchid_stale\stale_unfiltered
